rounds,representation,model,train_seed,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss
3,concat,cnn,1337,0.748,0.8086960966232958,1087,408,348,1157,0.7687707641196013,0.7270903010033445,0.7479305325614729,0.5629715205828348
3,concat,cnn,2027,0.7326666666666667,0.7940377115301281,1049,446,356,1149,0.7634551495016612,0.7016722408026755,0.7325636951521683,0.5586275237401327
4,concat,cnn,1337,0.486,0.4913960348469812,819,688,854,639,0.4279973208305425,0.5434638354346384,0.4857305781325904,0.7129689219792684
4,concat,cnn,2027,0.4946666666666666,0.4995504346539102,813,694,822,671,0.449430676490288,0.5394824153948241,0.494456545942556,0.7092449224789937
5,concat,cnn,1337,0.4946666666666666,0.4965594806286892,717,776,740,767,0.508958195089582,0.4802411252511721,0.494599660170377,0.7172539054552715
5,concat,cnn,2027,0.5013333333333333,0.4932698534323636,819,674,822,685,0.4545454545454545,0.5485599464166109,0.5015527004810327,0.711126339117686
6,concat,cnn,1337,0.511,0.5061567004957008,750,734,733,783,0.5164907651715039,0.5053908355795148,0.5109408003755094,0.7006731603940328
6,concat,cnn,2027,0.5043333333333333,0.499951105548009,928,556,931,585,0.3858839050131926,0.6253369272237197,0.5056104161184561,0.7058428707122802
7,concat,cnn,1337,0.4886666666666667,0.4829920012305115,789,734,800,677,0.4583615436696005,0.5180564674983585,0.4882090055839795,0.6988485363324484
7,concat,cnn,2027,0.482,0.4864325879284508,400,1123,431,1046,0.7081922816519973,0.262639527248851,0.4854159044504241,0.7061284357706705
8,concat,cnn,1337,0.5063333333333333,0.4997091105939744,739,759,722,780,0.5193075898801598,0.493324432576769,0.5063160112284644,0.7029139513969421
8,concat,cnn,2027,0.4896666666666666,0.4918357632635791,724,774,757,745,0.4960053262316911,0.4833110814419226,0.4896582038368068,0.7067421917915344
3,delta,cnn,1337,0.931,0.9791677685307616,1414,81,126,1379,0.916279069767442,0.945819397993311,0.9310492338803764,0.2007681922117869
3,delta,cnn,2027,0.925,0.9795962177357528,1388,107,118,1387,0.921594684385382,0.928428093645485,0.9250113890154334,0.197624477704366
4,delta,cnn,1337,0.7596666666666667,0.8260939904913485,1159,348,373,1120,0.7501674480910918,0.7690776376907764,0.7596225428909341,0.5315050523281097
4,delta,cnn,2027,0.759,0.8221819052948265,1171,336,387,1106,0.7407903549899532,0.7770404777704047,0.758915416380179,0.5364117654164632
5,delta,cnn,1337,0.5493333333333333,0.5687230521909143,764,729,623,884,0.5865958858659589,0.5117213663764233,0.5491586261211912,0.7156500463485718
5,delta,cnn,2027,0.5696666666666667,0.5844633949806017,878,615,676,831,0.5514266755142667,0.5880776959142666,0.5697521857142667,0.7088649333318074
6,delta,cnn,1337,0.5203333333333333,0.5196866843516418,650,834,605,911,0.6009234828496042,0.4380053908355795,0.5194644368425918,0.7108695030212402
6,delta,cnn,2027,0.5223333333333333,0.529972299070472,787,697,736,780,0.5145118733509235,0.5303234501347709,0.5224176617428472,0.6990655077298482
7,delta,cnn,1337,0.5093333333333333,0.5089245427035957,918,605,867,610,0.4129993229519296,0.602757715036113,0.5078785189940213,0.6993551073074341
7,delta,cnn,2027,0.4973333333333333,0.4973711597082159,981,542,966,511,0.3459715639810427,0.6441234405778069,0.4950475022794248,0.7094548935890198
8,delta,cnn,1337,0.49,0.4788146290037849,864,634,896,606,0.403462050599201,0.5767690253671562,0.4901155379831786,0.7035774995485942
8,delta,cnn,2027,0.484,0.4883248681330989,866,632,916,586,0.3901464713715046,0.5781041388518025,0.4841253051116535,0.7079013201395671
3,delta_stats,cnn,1337,0.9113333333333332,0.966256958410649,1372,123,143,1362,0.9049833887043188,0.9177257525083612,0.91135457060634,0.2391727413336436
3,delta_stats,cnn,2027,0.9096666666666666,0.96234180379782,1380,115,156,1349,0.8963455149501661,0.9230769230769232,0.9097112190135446,0.2454897123177846
4,delta_stats,cnn,1337,0.7473333333333333,0.8142719552559146,1151,356,402,1091,0.7307434695244475,0.7637690776376908,0.747256273581069,0.5495143232345581
4,delta_stats,cnn,2027,0.7346666666666667,0.8007583276258015,1133,374,422,1071,0.7173476222371065,0.7518248175182481,0.7345862198776774,0.5440783611933391
5,delta_stats,cnn,1337,0.531,0.527794160850614,911,582,825,682,0.4525547445255474,0.6101808439383791,0.5313677942319632,0.7048431889216105
5,delta_stats,cnn,2027,0.5196666666666667,0.5343416367734231,928,565,876,631,0.4187126741871267,0.6215673141326189,0.5201399941598728,0.6995019234021504
6,delta_stats,cnn,1337,0.5223333333333333,0.5194577694173204,764,720,713,803,0.5296833773087071,0.5148247978436657,0.5222540875761864,0.704207087357839
6,delta_stats,cnn,2027,0.512,0.5209654965187149,562,922,542,974,0.6424802110817942,0.3787061994609164,0.5105932052713553,0.7016152289708455
7,delta_stats,cnn,1337,0.492,0.499652807260018,1010,513,1011,466,0.3155044008124577,0.6631648063033486,0.4893346035579031,0.6946736585299174
7,delta_stats,cnn,2027,0.5,0.497231349059401,866,657,843,634,0.4292484766418415,0.5686145764937623,0.4989315265678019,0.7072692221005757
8,delta_stats,cnn,1337,0.496,0.4990924428310094,395,1103,409,1093,0.7276964047936085,0.2636849132176235,0.495690659005616,0.6952931248346964
8,delta_stats,cnn,2027,0.4963333333333333,0.4981142188697224,845,653,858,644,0.4287616511318242,0.5640854472630173,0.4964235491974208,0.6957642731666565
3,joint,cnn,1337,0.4866666666666667,0.4814155712841254,848,647,893,612,0.4066445182724252,0.5672240802675586,0.4869342992699919,0.7231549922625223
3,joint,cnn,2027,0.491,0.4829235880398671,1072,423,1104,401,0.2664451827242525,0.717056856187291,0.4917510194557717,0.6953267095883687
4,joint,cnn,1337,0.4983333333333333,0.4949923353886374,1261,246,1259,234,0.1567314132618888,0.8367617783676178,0.4967465958147533,0.7046580443382263
4,joint,cnn,2027,0.4916666666666666,0.4984981895161272,841,666,859,634,0.4246483590087073,0.5580623755806238,0.4913553672946655,0.6983212184906006
5,joint,cnn,1337,0.5093333333333333,0.5053705614033372,744,749,723,784,0.5202388852023888,0.4983255190890824,0.5092822021457356,0.7185139938990275
5,joint,cnn,2027,0.504,0.5094473168526781,774,719,769,738,0.4897146648971466,0.5184192900200938,0.5040669774586202,0.6949561637242635
6,joint,cnn,1337,0.49,0.4949158659829741,819,665,865,651,0.429419525065963,0.5518867924528302,0.4906531587593966,0.7022526545524597
6,joint,cnn,2027,0.4996666666666666,0.5054081708852207,631,853,648,868,0.5725593667546174,0.4252021563342318,0.4988807615444246,0.701895339012146
7,joint,cnn,1337,0.4956666666666666,0.4917693982274054,902,621,892,585,0.3960731211916046,0.5922521339461589,0.4941626275688817,0.6975777648289998
7,joint,cnn,2027,0.5056666666666667,0.4968212526411765,502,1021,462,1015,0.6872037914691943,0.3296126066973079,0.5084081990832512,0.6978117537498474
8,joint,cnn,1337,0.4953333333333333,0.498826664580737,842,656,858,644,0.4287616511318242,0.562082777036048,0.4954222140839361,0.6981822600364685
