rounds,representation,model,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss,accuracy_std,roc_auc_std,true_negative_std,false_positive_std,false_negative_std,true_positive_std,true_positive_rate_std,true_negative_rate_std,balanced_accuracy_std,loss_std,effective_seed_count,num_seeds
3,concat,cnn,0.7403333333333333,0.801366904076712,1068.0,427.0,352.0,1153.0,0.7661129568106313,0.71438127090301,0.7402471138568206,0.5607995221614838,0.0076666666666666,0.0073291925465838,19.0,19.0,4.0,4.0,0.0026578073089701,0.0127090301003344,0.0076834187046522,0.002171998421351,2,2
3,concat,mlp,0.8553333333333333,0.906572295247725,1336.5,158.5,275.5,1229.5,0.8169435215946844,0.8939799331103679,0.8554617273525262,0.3968119748036066,0.0073333333333333,0.0036120401337792,10.5,10.5,11.5,11.5,0.007641196013289,0.0070234113712374,0.0073323036922632,0.0031397480567296,2,2
3,concat,siamese,0.86,0.9140137112634584,1311.0,184.0,236.0,1269.0,0.8431893687707641,0.8769230769230769,0.8600562228469205,0.4086253606478373,0.0026666666666667,0.0004933388148757,10.0,10.0,2.0,2.0,0.001328903654485,0.0066889632107023,0.0026800297781086,0.0018874974250793,2,2
3,delta,cnn,0.928,0.979381993133257,1401.0,94.0,122.0,1383.0,0.918936877076412,0.937123745819398,0.9280303114479048,0.1991963349580764,0.003,0.0002142246024956,13.0,13.0,4.0,4.0,0.0026578073089701,0.008695652173913,0.0030189224324714,0.0015718572537104,2,2
3,delta,mlp,0.9516666666666668,0.9867214080156446,1437.5,57.5,87.5,1417.5,0.9418604651162792,0.9615384615384616,0.9516994633273704,0.1452380734880765,0.0006666666666667,0.0004206713407926,0.5,0.5,2.5,2.5,0.0016611295681062,0.0003344481605351,0.0006633407037855,0.0035058409969012,2,2
3,delta,siamese,0.9516666666666668,0.9887954310603452,1422.5,72.5,72.5,1432.5,0.9518272425249168,0.951505016722408,0.9516661296236624,0.1503464623689651,0.0013333333333332,8.577873087475818e-05,3.5,3.5,0.5,0.5,0.0003322259136212,0.0023411371237458,0.0013366815186836,0.002216697414716,2,2
3,delta_stats,cnn,0.9105,0.9642993811042344,1376.0,119.0,149.5,1355.5,0.9006644518272425,0.920401337792642,0.9105328948099424,0.2423312268257141,0.0008333333333333,0.0019575773064144,4.0,4.0,6.5,6.5,0.0043189368770764,0.0026755852842809,0.0008216757963977,0.0031584854920705,2,2
3,delta_stats,mlp,0.9541666666666666,0.988168757430638,1441.5,53.5,84.0,1421.0,0.944186046511628,0.9642140468227424,0.9542000466671852,0.1392616407871246,0.0008333333333333,0.0005035611506793,1.5,1.5,1.0,1.0,0.0006644518272425,0.0010033444816053,0.000833898154424,0.0019654576381047,2,2
3,delta_stats,siamese,0.923,0.9756806186735408,1371.5,123.5,107.5,1397.5,0.9285714285714286,0.917391304347826,0.9229813664596274,0.2300074067513148,0.0026666666666666,0.0004444493827708,1.5,1.5,6.5,6.5,0.0043189368770764,0.0010033444816053,0.0026611406793408,0.0120011832316716,2,2
3,joint,cnn,0.4888333333333333,0.4821695796619962,960.0,535.0,998.5,506.5,0.3365448504983389,0.6421404682274248,0.4893426593628818,0.7092408509254455,0.0021666666666666,0.0007540083778708,112.0,112.0,105.5,105.5,0.0700996677740863,0.0749163879598662,0.0024083600928899,0.0139141413370768,0,2
